worker_id,condition,start_means,strategy_with_means,strategy_without_means,Open Codes,Answered question,Changed strategy with vs witout means,Mentioned distance,Mentioned mean,Mentioned variance,Mentioned threshold,Mentioned area of marking,Mentioned frequency of events/markings,Mentioned confusion
250c9fa6,HOPs,TRUE,The higher performance is worth the price,I followed the pattern,Uninformative,No,,,,,,,,
263fdbf2,HOPs,TRUE,My decisions were based on how far the indicator for a new player was from not paying for a new player,I tried to estimate the average range,Mean difference,Yes,No,Yes,Yes,No,No,No,No,No
2736882f,HOPs,TRUE,I was seeing how far ahead the red line (new player) was ahead of the blue line and then I went with my gut instinct.,I followed the red line. If it was to close to the blue line then I went with the blue line.,Frequency of distance between draws,Yes,No,Yes,No,No,No,No,Yes,No
2c05949f,HOPs,TRUE,I look to see how many times it goes below the threshold and I take that into account,i looked to see how many times it went below the threshold and I used that to make an inference,Frequency of draws across threshold,Yes,No,No,No,No,Yes,No,Yes,No
3e8fa5b4,HOPs,TRUE,i do calculate how far the graph is moving and on which part,i do calculate how far the graph move and on which side.,Distance across threshold,Yes,No,Yes,No,No,Yes,No,No,No
4424c868,HOPs,TRUE,I look for how far the red bar moves with the contribution of the new player compared to what I see without a new player.,I based my decision on the difference between the length of the red and blue cursor.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
46833f94,HOPs,TRUE,I use them to see both the averages and ranges.  I then use that to make my decision.,I used the ranges to make my decisions.  If the red one had too many below the 100 point mark I chose to keep the blue player.,Variance and mean difference; Frequency of draws across threshold,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
4cbb99c6,HOPs,TRUE,Well looking at the red and blue line and if if i find that the pattern of line flashes is worth the minus 1 mil i'll go with it.,I tried to find the average for each line the best i could.,Variance and mean difference,Yes,No,No,Yes,Yes,No,No,Yes,No
4d87fcb1,HOPs,TRUE,I looked at how far the line jumped out on the new player.,I watched both the moving lines. If the new player line went out reasonably past where the team line went and bought the player.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
4f7c0d5e,HOPs,TRUE,I have been looking at the range for each option and trying to determine if it is worth it to buy the new player. If the majority of the range is over the threshold I usually buy the new player.,My strategy was similar to the first half- I looked at the range for the new player and the team without the player and tried to base my decision off of that. If most of the range for the new player was over the threshold I usually bought them.,Area across threshold,Yes,No,No,No,Yes,Yes,Yes,No,No
51ded3f5,HOPs,TRUE,I looked at the added value of what the new player can add to the team,I followed the prompting accordingly,Uninformative,No,,,,,,,,
52093296,HOPs,TRUE,I read the chart and decided accordingly.,I READ THE CHART AND DECIDED ACCORDINGLY.,Uninformative,No,,,,,,,,
5355065f,HOPs,TRUE,if the new player seemed to be significantly more then obviously it's worth it. If not then I'm not paying for it because odds are they won't really perform better enough to be worth the money.,If the new player had significantly higher jumps on the chart than the existing player. then it had to be better.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
577604c2,HOPs,TRUE,Nothing,Good,Uninformative,No,,,,,,,,
6157b65e,HOPs,TRUE,I visually estimated how much the red line was more than the blue line with the vertical line at 100 being 50 out of 100. If the chance of the red line was more than 6o out  of 100 I would add a new player.,I observed whether the red line went beyond the 100 score line to the left. If so the chance was 50 out of 100 then I kept the team without new player. If the red line did not go beyond the 100 score line to the left the chance was 100 out of 100 then I paid for the new player.,Mean difference; Probability of superiority threshold; Frequency of draws across threshold,Yes,Yes,No,Yes,No,Yes,No,Yes,No
6295766b,HOPs,TRUE,If it is above 50% I pay for the player,I tried to decide the reliability of whether the player would actually help or not.,Probability of superiority threshold,No,,,,,,,,
63841828,HOPs,TRUE,I looked at the charts and decided if it was worth paying for the new player based on how much they increased the chances of winning.,I looked at the range of the lines with the new player and without and chose whether it was worth it to pay for the new player.,Range comparison,Yes,No,No,No,Yes,No,No,No,No
681976d3,HOPs,TRUE,I looked at the charts and the individual predictions to determine the spread of possible total points and if I felt like the new player got 60 out of a hundred or more likely to give more points then I made the decision to go with the new player,looked at the individual predictions for total points comparing both with and without the new player and made a decision if there was enough difference in my favor with the new player scoring more points than without him,Variance; Probability of superiority threshold; Gist distance,Yes,No,Yes,No,Yes,No,No,No,No
68308249,HOPs,TRUE,I looked at how many points under 100 were likely versus how many winning points over 100 were likely with the new player. If it was a wash I did not pay for the new player. If they added value to the score I did pay for them.,I estimated the percentage of the time my team would win with the new player versus without the new player according to the markers shown on the graph. If they won more games with the player I chose to buy that player.,Frequency of draws across threshold; Focused on red,Yes,No,No,No,No,Yes,No,Yes,No
6a766f03,HOPs,TRUE,how well the new player may be,how i thought that the new player would do,Uninformative,No,,,,,,,,
6c025eaf,HOPs,TRUE,I haven't figured it out yet.,The dots helped see the estimates better.,Uninformative,No,,,,,,,,
6c0eda1a,HOPs,TRUE,I mostly looked at how much of an improvement the player brought. If the red line was significantly ahead of the blue line then I would pay for the player but otherwise I would not. It had to be quite an improvement though. Only a slight improvement shown by the red line was not enough to get me to pay for the player.,"I tried to roughly ""average"" the various predictions for each color to see how much of an improvement there was. If it was a substantial improvement I bought the player but otherwise I didn't.",Mean difference,Yes,No,Yes,Yes,No,No,No,No,No
761b3fc3,HOPs,TRUE,If there would be a large increase in points I would pay for the new player otherwise if the point difference was little I would not pay.,I look at the highs and lows and determine whether the lowest for adding a newer player would be higher than 100.,Range comparison; Distance across threshold,Yes,No,Yes,No,Yes,Yes,No,No,No
7706f552,HOPs,TRUE,Only to see how much of an overlap between the two areas was to determine whether it was good or not.,It was no different than the previous chart it just didn't have an average value.,Distribution overlap,Yes,No,No,Ignored,No,No,Yes,No,No
79d2f388,HOPs,TRUE,I tried to estimate how many times out of 10 each line was over the threshold.,This time I couldn't see the threshold so I had to incorporate how far to the right they went and how many times they were over the dotted line,Frequency of draws across threshold; Gist distance,Yes,Yes,Yes,No,No,Yes,No,Yes,No
7d23d967,HOPs,TRUE,I looked at the red bar first to see how much point value the new player could add; I also watched the variations in the two bars to make sure the new player would increase the score.,Watched the red bar and make a judgement call.,Variance and mean difference; Focused on red,Yes,No,No,Yes,Yes,No,No,No,No
8093a40f,HOPs,TRUE,I followed my intuition of prediction,I continued using my instinct,Uninformative,No,,,,,,,,
809a62cb,HOPs,TRUE,If there was a certain amount of points estimated to be scored say 125 or higher than I would choose to grab the new player. OTherwise I would stick with the same team.,The moving bars helped me estimate the average chance of winning through comparing the two visuals.,Point threshold; Mean difference,Yes,No,No,Yes,No,Yes,No,No,No
839f8971,HOPs,TRUE,I looked at the average and the spread of values as they flashed.,I looked at the maximum and minimum values and assumed the average would be in between.,Variance and mean difference,Yes,No,No,Yes,Yes,No,No,No,No
8788566a,HOPs,TRUE,nice,nice,Uninformative,No,,,,,,,,
8c057e06,HOPs,TRUE,I tried to use the chart in five point increments which I eyeballed between 100 and 150.,I had to observe the movement of the bar for both choices and decide by looking at this movement if it was worthwhile to pay for the new player.,Uninformative,No,,,,,,,,
98f24d04,HOPs,TRUE,I see which color lines are further on the chart.,I used the lines to see which ones went further on the chart.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
9a0f3c54,HOPs,TRUE,I only get paid when I do buy the player so I always need to do it the lines are my confidence,Try to see how much confidence I had in how many times they will be highest,Frequency of draws changing order,Yes,No,No,No,No,No,No,Yes,No
9d3f92ed,HOPs,TRUE,If the red line ticked more towards the left then I would purchase another player.,If the red line ticked more to the right I would not purchase another player.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
a33dd36d,HOPs,TRUE,If the new player and the current team were within a pretty close distance to each other that would indicate to me that I should just stick with the team I currently have. The biggest thing visually I'm looking for from the chart is if there is discernible difference with the new player.,Again just made sure that the difference of outcomes between adding a new player and keeping the same team was noticeable. It needed to be more of a for sure gap for me to want to spend a little money to guarantee a win.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
a871dfac,HOPs,TRUE,Try to decide how big the difference is with or without the new player,Try to calculate the average scores with or without the new player,Mean difference,Yes,No,No,Yes,No,No,No,No,No
aa4d3f97,HOPs,TRUE,Take into reference the displacement from the graph.,Look at the moving graph,Uninformative,No,,,,,,,,
aba10131,HOPs,TRUE,Because the charts show me the possibility of winning more points with a new player if the chart shows less than 65% I choose no to add a new player.,I check the flash and make a estimate percent I will get points with a new player.,Probability of superiority threshold,No,,,,,,,,
abf75007,HOPs,TRUE,I picked the new team when the bar was greater than 100.,Choose whichever line crossed the 100 mark more/ at a higher number.,Mean difference; Point threshold; Frequency of draws across threshold,Yes,Yes,No,Yes,No,Yes,No,Yes,No
ad8e159f,HOPs,TRUE,I look to see how much more the new player would help score and only purchase if it is over a certain threshold.,It watched the trend of how many times the new player would score more than without and made a guess.,Point threshold; Frequency of draws changing order,Yes,No,No,No,No,Yes,No,Yes,No
adba047a,HOPs,TRUE,If the new player adds more than a tiny amount I decided to chance it.  So like 60 and above by my estimates.  I think I may wait for further until I think it's 65 or more.,This time I realized that the average wasn't as important.  Some players stayed above the line even if they were closer to the line (had a chance of scoring fewer points but still score above the minimum for the bonus).  Other players had far larger spreads and could get much higher points or score lower than the minimum.   I always said yes to those who always scored above and focused on deciding whether those who scored under scored less often.,Probability of superiority threshold; Distance across threshold; Frequency of draws across threshold,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
b3f1c838,HOPs,TRUE,If the line blue line showed a high chance of loosing and the red line decreased that chance considerably then I chose to purchase the additional player.,When the red line did not fall behind the winning threshold I chose to select adding the new player. If the blue line and red line had a similar pattern I did not add the additional player.,Distance across threshold; Gist distance,Yes,No,Yes,No,No,Yes,No,No,No
b820b443,HOPs,TRUE,I used the charts to figure out how much more the likelihood of winning would be if I bought a new player and if the new player was worth the investment.,I looked at the chart to see how much my scores increase and decrease both with the new player and without the new player. Then I decided based on how the graph moved what were my chances of winning with a new player and if it was worth investing in.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
ba1e5e7c,HOPs,TRUE,I considered if the red line would actually make it better for the team and I used the dashed line as a guide too.,I used it by comparing how much difference the red line would move up compared to the blue. If I didn't feel there was enough movement I wouldn't pay for the player.,Gist distance; Point threshold,Yes,No,Yes,No,No,Yes,No,No,No
bb2e8dfa,HOPs,TRUE,I attempted to compare the chance of a positive or negative outcome for each response type with the intent to get an idea of the average outcome of either choice.,As with the first set of tasks I attempted to estimate the average return for each choice category comparing the relative position for each frame of the animation.,Mean difference; Frequency of distance between draws,Yes,No,Yes,Yes,No,No,No,Yes,No
bfd6e447,HOPs,TRUE,I used the chart to predict my chances,I compared the overall average difference between the two.,Mean difference,Yes,No,No,Yes,No,No,No,No,No
c20203bf,HOPs,TRUE,If the chart was more than 60% likely to score more points with the new player then I would pay for the new player.,I looked to notice if the red line was close to the blue line in scoring over 100 points to make it worth investing in new player.,Probability of superiority threshold; Distance across threshold,Yes,No,Yes,No,No,Yes,No,No,No
c2dc515c,HOPs,TRUE,I didnt really use the chart. I figured if the two lines were close I would not have to pay for a new player but i was wrong with that assumption. That being the case I just paid for a new player each round.,It wasnt until the second half that I fully realized what the flashing lines meant. Once I realized what they were for I used them to judge if it was worth taking the chance of not paying for a new player or paying for one.,Mean difference; Uninformative,Yes,Yes,Yes,Yes,No,No,No,No,Yes
c3ee744d,HOPs,TRUE,the overall charts,yes I did,Uninformative,No,,,,,,,,
c4aeddbe,HOPs,TRUE,I paid for players who would add the highest amount of points. Players who added little or nothing I did not pay for.,I looked for larger gaps between with the new player and without. I paid when I saw a larger gap.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
c6425abf,HOPs,TRUE,I am looking at the variation and deviation from the average norm to determine a probabilistic result for increasing odds of scoring correct points.,THE CHARTS WERE HELPFUL WITH GETTING A GOOD IDEA OF THE RANGE IN WHICH TO MAKE AN ESTIMATE ABOUT PERFORMANCE.,Variance and mean difference,Yes,No,No,Yes,Yes,No,No,No,No
c7ee5ad1,HOPs,TRUE,Took the risk of choosing the new player when the greater possible return was shown.,Paid great attention to the movements of the bars for each probability.,Uninformative,No,,,,,,,,
d0dd6361,HOPs,TRUE,Im taking a moment to see just how far ahead each line jumps and trying to find a baseline between the two. I try and time about five seconds worth of activity before making my judgment.,I timed each one and tried to count how many times it jumped past a certain baseline point that I set. If I felt like it jumped further than the opposing player I would vote for it and give it a higher percentage of scoring.,Frequency of draws across threshold; Gist distance,Yes,No,Yes,No,No,Yes,No,Yes,No
d16ca182,HOPs,TRUE,I compared to see how many over 100 for the potential player.,I compared the anticipation score marks for both choices.,Frequency of draws across threshold,Yes,No,No,No,No,Yes,No,Yes,No
d8475d02,HOPs,TRUE,I tried to estimate the scores most likely to result based on the probabilities but sometimes it seemed like a 50/50 chance.,I tried to estimate how often the red line was beyond the blue and how close it was to the maximum score.,Frequency of draws changing order; Gist distance; Point threshold,Yes,No,Yes,No,No,Yes,No,Yes,No
dfddc832,HOPs,TRUE,I kept watching how many times the moving blue lines went above the red line threshold to make my average percentage guess.  This seemed to really help me decide if paying for the new player was the right decision.,I watched how many times the red moving line crossed the threshold compared to blue moving line.  I also watched how many times the blue line went above the red line to make my predictions.,Frequency of draws across threshold; Frequency of draws changing order,Yes,No,No,No,No,Yes,No,Yes,No
e03f6115,HOPs,TRUE,Based on the red and blue lines,by comparing red and blue lines points,Uninformative,No,,,,,,,,
e1b40263,HOPs,TRUE,I'm looking to see how far off the median bars are and how much variation the two players are showing.,I tried to estimate the median and estimate from there.,Variance and mean difference,Yes,No,Yes,Yes,Yes,No,No,No,No
e63d9528,HOPs,TRUE,If the odds are 65% or more I would pay for the new player.,If the range was within 65% or so I would take the new player. Otherwise I would just keep the same team.,Probability of superiority threshold,No,,,,,,,,
e6ba8795,HOPs,TRUE,I saw the blue and the red vertical bars and how they were moving and from there try to use my common sense on prediction.,I say how far both the red and blue vertical lines were. then made a prediction.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
e80d6b5e,HOPs,TRUE,I tried to look at how often my team would go under the threshold for an award. If it went under too often I would not pay the new player.,I looked at how many times the new player fell below the award threshold and based my decision on that.,Frequency of draws across threshold,Yes,No,No,No,No,Yes,No,Yes,No
ed851f4b,HOPs,TRUE,I looked at the distance between the bars to see how much more a new player would help the team. When further apart it would definitely be beneficial to pay for the new player.,I watched how often the new player did better than the current player if did better all the time I would vouch for a new player. If back a forth I think the current player would do the same thing.,Mean difference; Frequency of draws changing order,Yes,Yes,Yes,Yes,No,No,No,Yes,No
ee6e4127,HOPs,TRUE,I look for all the individual places the lines are in each row and average them to see which would give the higher outcome.,I kept track of how far left and right each bar was going for both options. If the new player bar was reaching farther right on average than not buying a new player I knew it would be the better option.,Mean difference; Gist distance,Yes,No,Yes,Yes,No,No,No,No,No
f08b3aec,HOPs,TRUE,I compared the relative position of the red line to the threshold to make an accept of deny decision.,I judged the average position of the team by interpolating the position based on the individual flashing lines. I used this projected average to make a calculated decision on whether to accept or not.,Mean difference,Yes,No,Yes,Yes,No,No,No,No,No
f65ad716,HOPs,TRUE,I was looking on how much farther the paid player was compared to the normal. If it was closer to 150 and by how much.,I was looking at the overall high and lows of the red player. If they were too far off of the current player I would definitely purchase. Too even then i would keep the same player.,Gist distance; Point threshold; Range comparison,Yes,Yes,Yes,No,Yes,Yes,No,No,No
f796f54d,HOPs,TRUE,by looking at the score,how much they scored,Uninformative,No,,,,,,,,
fdb8555e,HOPs,TRUE,The positions of the flashing lines.,I looked at the positions of the flashing lines.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
0306e6e7,HOPs,FALSE,I looked to see if the red bar was significantly to the right and the blue had a lot of hits that were missing.  If so I paid to add the player.,I tried to see if there were a lot of results where the add player resulted in a win but the keep did not.  And also if there were lots of situations where there was a win whether or not the player was added.,Frequency of draws across threshold; Mean difference,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
0316c33b,HOPs,FALSE,The Existing players selection is best decision they are played well in this game and than new players do not played well. So i think Existing players well.,In this study about sports game and than this described about how to select the players. The new players played well and than existing players do not play well. So select new players selection is good decision .,Uninformative,No,,,,,,,,
07b1d88a,HOPs,FALSE,i focused solely on the average bar.,i tried to determine which line was moving further in either direction and then judge who was moving the most as well as whose highest and lowest points were.,Gist distance; Mean difference,Yes,Yes,Yes,Yes,No,No,No,No,No
086d0fc3,HOPs,FALSE,I looked to see how many times the red line outperformed the blue line.,I looked to see how many times the red line outperformed the blue line,Frequency of draws changing order,Yes,No,No,No,No,No,No,Yes,No
135087a2,HOPs,FALSE,I looked at the averages but also paid attention to the amount of variation that was occurring between the highs and lows.,I tried to look at averages by seeing where the maximum and minimum values occurred and then comparing the two,Variance and mean difference,Yes,No,No,Yes,Yes,No,No,No,No
1a2f02ee,HOPs,FALSE,I looked evenly at the average and how many times the lines appeared lower than the points needed,I mostly looked at how often the two options ended under the score needed If the red was there the same or more than blue I picked not spend the money to get the new player,Frequency of draws across threshold; Mean difference,Yes,Yes,No,Yes,No,Yes,No,Yes,No
25aa5dd2,HOPs,FALSE,I watched to see how the red line was preforming compared to the blue line. When the red was passing the line more than the blue I would invest in a new team member.,I watched how many times the Red was scoring lower than blue and Made my decision based on that.,Frequency of draws changing order; Frequency of draws across threshold,Yes,Yes,No,No,No,Yes,No,Yes,No
265ad940,HOPs,FALSE,comparing low high and average ticks,comparing tick marks low and high.,Range comparison; Mean difference,Yes,Yes,No,Yes,Yes,No,No,No,No
3454bbe2,HOPs,FALSE,Same as before I based off what the prediction was and what the history told me.,I looked for what had a higher chance of scoring more and the history of how similar scores turned out to benefit or not benefit me.,Uninformative,No,,,,,,,,
36d24a94,HOPs,FALSE,I watched the low and high of each line and estimated the odds of payoff.,The difference in horizontal movement between the with line vs the without line.,Gist distance; Range comparison,Yes,Yes,Yes,No,Yes,No,No,No,No
375a36bd,HOPs,FALSE,first looked at which average was higher than looked to see how many red values dipped below 100,determine if red values are on average higher than blue,Mean difference; Gist distance; Frequency of draws across threshold,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
3a499ecd,HOPs,FALSE,watched for high and low points in each,looked for median in patterns,Mean difference; Range comparison,Yes,Yes,No,Yes,Yes,No,No,No,No
4720139b,HOPs,FALSE,Gut instinct,i just looked for how often my usual team performs up to par,Uninformative,No,,,,,,,,
4796969f,HOPs,FALSE,How far to the right of the line it goes,the distance to the right of the center line,Distance across threshold,Yes,No,Yes,No,No,Yes,No,No,No
51454ba0,HOPs,FALSE,Just to see how many times they crossed the line pretty much,Im see how much more the odds are that the new guy will win,Frequency of draws across threshold,Yes,No,No,No,No,Yes,No,Yes,No
5cdf92e4,HOPs,FALSE,if the top bar was farther to the right i bought the new player,By looking determining which bar upper or lower spent more time to the right of the threshold,Frequency of draws across threshold; Mean difference,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
5f40c0b9,HOPs,FALSE,I tried to look at how many times the red line was beyond the blue line and also the points discrepancy. if it seemed the red was more often ahead of the blue i bought the player.,I looked at the two outcomes in relation to each other and how often they seemed to be indicating more/less points scored,Gist distance; Frequency of distance between draws; Frequency of draws changing order,Yes,Yes,Yes,No,No,No,No,Yes,No
61771078,HOPs,FALSE,I liked the second part of the trials much better.  The solid bar indicating the average was much more helpful and allowed me to make better decisions.,Looking at to see whether it seemed that the new player has more instances where it is above the winning line compared to the team without the new player.,Frequency of draws across threshold; Mean difference,Yes,Yes,No,Yes,No,Yes,No,Yes,No
628572bb,HOPs,FALSE,I would look to see how my team was doing and if they could score 100 points before looking at the other player. If I didn't think my team would score 100 points I would add the other player.,I was counting how many times I scored over 100 points with my team and with a new player.,Frequency of draws across threshold,Yes,No,No,No,No,Yes,No,Yes,No
66879d3e,HOPs,FALSE,tried to estimate standard deviation from each base line and if red was better than blue i bought the player otherwise i left the player,i estimated how many points i would get by signing the player and if above 50% i added them. it seemed like most players would help the team.,Probability of superiority threshold; Variance,Yes,No,No,No,Yes,No,No,No,No
6d1b1f51,HOPs,FALSE,I looked at the red big line and if it was very far in the winning side I would pick red. I would also look at how many times the small lines were on the winning side.,see which side the line appear on more times,Frequency of draws across threshold; Mean difference,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
6e644d7b,HOPs,FALSE,i follow the rotation of the line whether to buy new player or maintain the old one,i use the chart by follow the cumulus rotation,Uninformative,No,,,,,,,,
74387ed8,HOPs,FALSE,it tell us very strategy the main experiment and easy to way,good study to this task,Uninformative,No,,,,,,,,
74ece94c,HOPs,FALSE,I based my predictions on the bigger line that was stationary as it seemed to come up with the average for me.,I looked at the range of the red line then the range of the blue line to see where they are averaging based on the '100' line. This helped me determine an estimate of how many times out of 100 I expected the team to do better with the new player.,Range comparison; Mean difference; Distance across threshold,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
78faae49,HOPs,FALSE,I based it off of the average and the cost vs benefits of choosing the new player.,I looked to see how many times that the new player outperformed the other player as well as how many points they scored.,Frequency of draws changing order; Mean difference,Yes,Yes,No,Yes,No,No,No,Yes,No
7a69e3a5,HOPs,FALSE,How often the new play would go past the red line and then the same at the blue line.  If red crossed over more then I added the player,If it appears greater than 50% I add the player,Probability of superiority threshold; Frequency of draws across threshold,Yes,No,No,No,No,Yes,No,Yes,No
7c07dac7,HOPs,FALSE,i measured proximity to threshold,i compare the movements' proximity to the threshold,Distance across threshold,Yes,No,Yes,No,No,Yes,No,No,No
84cd228d,HOPs,FALSE,In addition to the moving red and blue lines I paid attention to the fixed lines that told more specifically how often each player could be expected to produce a win. The fixed lines made it easier to decide when it was or wasn't worth the cost of adding the new player.,Yes I did use the charts. I tried to determine from the movements of the colored lines which player would be more likely to help the team win. If the red player would lead to a win more than 50% of the time I considered paying for them to join to team.,Gist distance; Mean difference,Yes,Yes,Yes,Yes,No,No,No,No,No
854ad6b0,HOPs,FALSE,With the new addition I based it more heavily on the predicted score while also taking into account the amount of times the marker crossed the threshold. I used the same basic principle though.,I see on average how many times more I cross the threshold for the new player vs not adding the new player. If I believe that I have a greater chance of success based on how often I see the threshold being passed I'll add the new player.,Frequency of draws across threshold; Mean difference,Yes,Yes,No,Yes,No,Yes,No,Yes,No
8677b43d,HOPs,FALSE,I just tried to see how often they were about the threshold and if they were a large percentage of the time then I would get the new player,If there was only a moderate to even increase I wouldn't pay for the new player.,Uninformative,No,,,,,,,,
884fb128,HOPs,FALSE,I tried to eyeball the percentage by watching the animation a few times to see how often the blue beat the red so I could answer the first question. For the second question. I mainly paid attention to how far past the line the new player was. If they were consistently across the line or very far across it I would choose to buy them.,I just stared at the points initially to see which one seemed to be scoring higher and how often. After that I tried to look at the difference between the two. I'd pass on buying the new player if the difference wasn't large enough.,Gist distance; Frequency of draws changing order; Distance across threshold,Yes,Yes,Yes,No,No,Yes,No,Yes,No
8abdc7d5,HOPs,FALSE,i compared the highs and lows of the lines jumping around and then tryed to average them out with the static lines.,compared the highs and lowes between the red line and blue line.,Range comparison; Mean difference,Yes,Yes,No,Yes,Yes,No,No,No,No
8be0b9ef,HOPs,FALSE,Consistent point variations/threshold,I looked to see the variances in points scored by by my team with/without new player. I looked for consistent differences.,Variance and gist distance; Point threshold,Yes,No,Yes,No,Yes,Yes,No,No,No
8df80577,HOPs,FALSE,I looked at the spread around the average to see how large the overlap was.,I looked for average position of red vs blue,Mean difference; Range comparison; Distribution overlap,Yes,Yes,No,Yes,Yes,No,Yes,No,No
95dd03b9,HOPs,FALSE,For this tasks I also examined the variability of the small lines as they were apart of close to the larger bold line. I tried to evaluate how many times out of 100 the team would score more points by hiring or not hiring a new worker. It seemed as though it was much more profitable to always hire a new worker costs aside.,I examined the charts for great numbers of variability among the option to not hire a new employee. If I felt like the dash moved too far left while the red dash remained stable or to the right side I chose to hire a new employee. When I chose to not hire a new employee and I saw that the blue dash was ticking very far to the left I often wound up not getting the results that I was looking for.,Variance; Gist distance; Mean difference,Yes,Yes,Yes,Yes,Yes,No,No,No,No
95fb4db6,HOPs,FALSE,The same as last time I based my answers on how often the marks stayed over the threshold and which stayed over it more than the other.,Comparing how often the red marker went over the threshold versus under it. If it was about the same as the blue one I'd compare which one goes above more to make my final choice.,Frequency of draws across threshold; Gist distance,Yes,No,Yes,No,No,Yes,No,Yes,No
96237cd2,HOPs,FALSE,I compared averages between high and low side,I looked for a pattern going above normal,Gist distance; Mean difference,Yes,Yes,Yes,Yes,No,No,No,No,No
97235ae9,HOPs,FALSE,I looked at where the bars were and their frequency.,The frequency of the colored bars and where they were mapped.,Frequency of distance between draws,Yes,No,Yes,No,No,No,No,Yes,No
a02159e0,HOPs,FALSE,Pretty much the same as last time. I did weigh the average a little bit but not as much as i thought i would.,I tried to account for a percentage red went above the line. Then I looked at blue and tried to figure out the percentage they went above the line. If red was above 60% and blue was less than 60% then I usually bought the new player.,Frequency of draws across threshold; Probability of superiority threshold,Yes,No,No,Ignored,No,Yes,No,Yes,No
a1f58e7c,HOPs,FALSE,I looked at all info.  I was looking to see if the gap in reaching goal was worth paying for new player.,Looking to see is new player gives me better odds if I paid versus if I did not pay and stuck with current players. The gaps between the bars and how far apart from the goals.,Gist distance; Distance across threshold,Yes,No,Yes,No,No,Yes,No,No,No
a299b0c2,HOPs,FALSE,Focusing on gap between average lines.,Try to see when and how frequently lines cross over win threshold.,Frequency of draws across threshold; Mean difference,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
a3ef0f26,HOPs,FALSE,I looked to see my chances of winning wth the new player by looking at the top line on the chart..I compared that to the line on the bottom without the new player.,I compared how I would do with and without the new player. I weighed the differences and chances.,Uninformative,No,,,,,,,,
a49242e2,HOPs,FALSE,Same as the first study I looked at how high the numbers got.,I used the charts. I looked for how high the numbers got (the bar on the graph).,Gist distance,Yes,No,Yes,No,No,No,No,No,No
a4a51c41,HOPs,FALSE,Tried to only pay for a player if the new player line was a big difference from the 100 line. It seemed like it was only a good idea to do it if it seemed like the line was at least 10 points or more over 100.,Trying to buy a player only if the amount seems to be over 100 quite a bit.,Distance across threshold; Mean difference; Point threshold,Yes,Yes,Yes,Yes,No,Yes,No,No,No
a52eb492,HOPs,FALSE,I was looking to see how often he new player failed to score more than without.,Tried to guess how high above the threshold the new player put me and if it was worth it to have them.,Distance across threshold; Frequency of draws changing order,Yes,Yes,Yes,No,No,Yes,No,Yes,No
a7415adc,HOPs,FALSE,following the indicators,the backward and forward movements of the indicators,Gist distance,Yes,No,Yes,No,No,No,No,No,No
a7c36e7e,HOPs,FALSE,I looked for the difference between the red line and the blue line. The bigger the difference the better to take the new player.,I looked for how much more the red line moves than the blue line.,Gist distance; Mean difference,Yes,Yes,Yes,Yes,No,No,No,No,No
ab8495dd,HOPs,FALSE,I compared the estimates of the two bars to judge whether or not I would be better off by buying the player. In general whenever I felt that I would be better off I felt the investment was worth paying for.,I'm looking specifically at each bar and determining if I'm any better off with the new player. I watch around 10 estimates to make this evaluation. If so I will pay to add the player.,Uninformative,,,,,,,,,
abc5648b,HOPs,FALSE,I checked how often one player won against the other how often they stayed above the dashed line and used the longer and solid line to get an idea of an average.,I look at the animation and check for patterns that show how often one player wins against the other. I also check which player stays above the dashed line more often.,Frequency of draws changing order; Frequency of draws across threshold; Mean difference,Yes,Yes,No,Yes,No,Yes,No,Yes,No
b336bb2b,HOPs,FALSE,I looked at the odds of them doing better,Over 60 I got the new player,Uninformative,No,,,,,,,,
b4fe73d1,HOPs,FALSE,It is obvious that new players perform better when the red move further.,I use the movement to determine the one with more goal,Gist distance,Yes,No,Yes,No,No,No,No,No,No
b888e39c,HOPs,FALSE,Depending on how far the red line moved was how I determined,I watched the red line and the more it moves the more likely I am to choose the player,Focued on red; Gist distance,Yes,No,Yes,No,No,No,No,No,No
c00aa294,HOPs,FALSE,Watched how the player moved back and forward.,Watched how far they moved the ball as opposed to how the team performed without.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
c2111a68,HOPs,FALSE,just looked at the median and made the decision much easier and came with better results,tried to count how many times the blue went ahead of red and also the margin was a factor in the decisions tighter margins made me less confident in the player,Frequency of draws changing order; Gist distance; Mean difference,Yes,Yes,Yes,Yes,No,No,No,Yes,No
